id,Title,Year,upc
27049,"Adventures of Tom Thumb & Thumbelina, The",2002,78693619440
334263,Advertising Rules!,2001,4339607828
10274,Advise and Consent,1962,8539335232
59857,Aeon Flux,2005,883929301744
71097,Affair in Trinidad,1952,4339628355
9620,"Affair of the Necklace, The",2001,8539212922
6536,Affliction,1998,5737313893
3038,Afraid of the Dark,1992,1438116412
207851,After Dark Originals: 51,2011,3139814209
193946,After Dark Originals: Fertile Ground,2010,31398135630
197683,After Dark Originals: Scream of the Banshee,2011,6593557641
193950,After Dark Originals: Seconds Apart,2011,3139813566
197687,After Dark Originals: The Task,2010,3139813947
7221,"After Dark, My Sweet",1990,1223612526
187742,After Dark: Prowl,2010,3139813268
10070,After Hours,1985,8539191920
205907,After Sex,2007,1313156369
46450,After the Sunset,2004,6593582746
10458,After the Thin Man,1936,1256979361
204667,After.Life,2010,774212103896
844232,"AFTERMATH (BD+DC,STD,WS)",2017,3139827603
14777,Against All Odds,1984,1438169925
142833,Against the Dark,2009,4339626811
41052,Against the Ropes,2004,9736056864
507096,Against The Wild,2014,1313264345
71136,Agatha,1979,88331623667
19939,Agatha Christie's Mirror Crack'd,1980,1313114329
653994,"AGE OF ADALINE, THE (BD+DVD+DC,STD,WS)",2015,3139822811
23657,AGE OF INNOCENCE,1993,1438169132
333406,Age of Treason,1993,24971400000000
315773,"Aggression Scale, The",2012,25624300000000
25806,Agnes of God,1985,4339607759
8448,"Agony and the Ecstasy, The",1965,2454314833
177495,Agora,2010,3139812526
6999,Air America,1990,1223610682
70274,Air Force,1943,883316716526
12597,Air Force One,1997,4339626951
220751,Airborne,1993,8921869669
140045,Airplane,1980,883929301768
16781,Airplane 2: The Sequel,1982,883929343126
22277,Airport,1970,2519214013
22272,Airport '77,1977,1871381014
22270,Airport 1975,1974,1871381010
6895,Akeelah and the Bee,2006,3139827939
9761,Akira Kurosawa's Dreams,1990,883316379158
71183,Al Capone,1959,88331612565
416388,Aladdin and the Death Lamp,2012,4339641620
71199,Alamo Bay,1985,24818300000000
13675,"Alarmist, The",1998,4339603497
9643,Alaska,1996,5393925622
307042,Albert Nobbs,2011,3139815151
14183,Albino Alligator,1996,9600977199
9919,Alex & Emma,2003,8539114549
382042,Alex Cross,2012,774212105357
71239,Alex in Wonderland,1970,88331632629
347714,Alexander,2004,1256981897
559749,Alexander,2004,88392940617
184162,Alexander Revisited: The Final Cut (Unrated),2004,8539114353
140046,Alfie,1966,9736066044
46307,Alfie,2004,9736041384
25548,Ali,2001,4339649281
71250,Ali Baba and the Forty Thieves,1943,2519201900
5571,Ali G Indahouse: The Movie,2002,2519267652
175712,Alice,2010,26470000000000
9749,Alice Adams,1935,5393960042
10067,Alice Doesn't Live Here Anymore,1974,8539191212
111502,Alice in Wonderland,1933,2519505356
7680,"ALIEN (BD+DC,STD,WS)",1979,2454398255
180890,Alien (Director's Cut),1979,24543098508
129079,Alien Autopsy,2006,1256986777
195981,"Alien Girl, The",2010,24838800000000
36259,Alien Hunter,2003,25102100000000
142824,Alien Raiders,2008,88392901385
8676,Alien vs. Predator,2004,24543414155
172054,Alien vs. Predator Requiem Unrated,2004,2454350818
8219,Alien: Resurrection (Special Edition),1997,2454309862
7683,Alien: Resurrection (Theatrical),1997,24543711254
7682,Alien3,1992,24543711230
8217,Alien3 (Special Edition),1992,2454309858
8874,"ALIENS (BD+DC,STD,WS)",1986,2454398257
180896,Aliens (Special Edition),1986,24975000000000
169325,Aliens in the Attic,2009,24543610960
130900,Aliens vs. Predator: Requiem,2007,24543508106
7711,All About Eve,1950,24543751601
15444,All About My Mother,1999,4339633223
172172,All About Steve,2009,24543533337
27656,All About the Benjamins,2002,794043546624
859577,"ALL EYEZ ON ME (BD+DVD+DC,STD,WS)",2017,3139828034
71294,All Fall Down,1962,88331612576
35191,All I Want,2003,4339601647
42692,All I Want for Christmas,1991,88392930374
45839,All In a Night's Work,1961,88331675460
320224,All Inclusive,2008,3139815156
458231,All Is Bright,2013,1313260224
484602,All Is Lost,2013,3139818529
71296,All Mine to Give,1956,5393979022
4902,All Quiet on the Western Front,1930,2519213029
205909,All Roads Lead Home,2008,1313164939
